B463,26.34,30.99,44.2,370,BAe146-300
RJ70,26.34,26.20,43.1,380,Avro RJ70
RJ85,26.34,28.60,43.9,380,Avro RJ85
RJ1H,26.34,30.99,46.0,380,Avro RJ100
MD11,51.66,61.60,273.3,473,
MD81,32.85,45.06,63.5,438,
MD82,32.85,45.06,67.8,438,
MD83,32.85,45.06,72.6,438,
MD87,32.85,39.75,67.8,438,
MD88,32.85,45.06,67.8,438,
MD90,32.87,46.51,70.8,438,
# ---- Embraer ----
E110,15.32,14.23,5.9,190,Bandeirante
E120,19.78,20.00,11.5,300,Brasilia
E135,20.04,26.33,20.0,447,
E175,26.00,31.68,38.8,447,,EMBRAER,170-200 (E175)
E75S,26.00,31.68,38.8,447,E175 short wing
E290,33.72,36.24,56.4,447,E190-E2
E295,35.10,41.50,61.5,447,E195-E2
E50P,12.30,12.82,4.75,380,Phenom 100
E55P,16.00,15.64,8.15,450,Phenom 300
E545,20.24,19.69,17.0,462,Legacy 450
E550,20.24,20.74,17.9,462,Legacy 500
E35L,21.17,26.33,22.5,447,Legacy 600
# ---- Regional turboprops / jets ----
AT43,24.57,22.67,16.9,250,ATR 42-300
AT45,24.57,22.67,18.6,250,ATR 42-500
AT46,24.57,22.67,18.6,250,ATR 42-600
AT72,27.05,27.17,22.0,275,ATR 72-200
AT75,27.05,27.17,22.8,275,ATR 72-500
AT76,27.05,27.17,23.0,275,ATR 72-600
DH8A,25.91,22.25,15.6,265,Dash 8-100
DH8B,25.91,22.25,16.5,265,Dash 8-200
DH8C,27.43,25.68,19.5,285,Dash 8-300
DH8D,28.42,32.83,29.3,360,Dash 8-400
DHC2,14.63,9.22,2.31,120,Beaver
DHC5,29.26,24.08,22.3,230,Buffalo
DHC6,19.81,15.77,5.67,160,Twin Otter
DHC7,28.35,24.58,19.5,230,Dash 7
CRJ1,21.21,26.77,23.1,424,CRJ100
CRJ2,21.21,26.77,24.0,424,CRJ200
CRJ7,23.24,32.51,34.0,447,CRJ700
CRJX,26.18,39.13,41.6,447,CRJ1000
SF34,21.44,19.73,13.2,250,Saab 340
SB20,24.76,27.28,22.8,350,Saab 2000
J328,20.98,21.28,15.7,405,Do 328JET
D228,16.97,16.56,6.6,200,Do 228
D328,20.98,21.28,14.0,335,Do 328
F27,29.00,25.06,20.4,250,Friendship
F28,25.07,29.61,33.0,420,Fellowship
F50,29.00,25.25,20.8,280,
F70,28.08,30.91,39.9,455,
F100,28.08,35.53,45.8,455,
JS31,15.85,14.37,6.95,230,Jetstream 31
JS32,15.85,14.37,7.35,230,Jetstream 32
JS41,18.29,19.25,10.9,265,Jetstream 41
SW3,14.10,12.20,4.68,280,Merlin III
SW4,17.37,18.09,7.48,280,Metro 23
L410,19.98,14.42,6.6,195,Turbolet
BE20,16.61,13.34,5.67,280,King Air 200
B190,17.65,17.63,7.76,280,1900D
B190C,16.61,17.63,7.53,280,1900C,BEECH,1900C
B190D,17.65,17.63,7.76,280,1900D,BEECH,1900D
B350,17.65,14.22,6.80,300,King Air 350
C208,15.88,12.67,3.99,175,Caravan
C212,20.28,16.15,8.0,200,Aviocar
C295,25.81,24.50,23.2,260,
C27J,28.70,22.70,31.8,315,Spartan
AN12,38.00,33.10,61.0,350,
AN24,29.20,23.53,21.0,243,
AN26,29.20,23.80,24.0,240,
AN28,22.06,13.10,6.5,190,
AN30,29.20,24.26,23.0,240,
AN72,31.89,28.07,34.5,297,
IL76,50.50,46.59,190.0,405,
IL96,60.11,55.35,270.0,470,
T204,41.80,46.14,110.8,445,Tu-204
T154,37.55,47.90,100.0,470,Tu-154
SU95,27.80,29.94,49.5,447,Superjet 100
YK42,34.88,36.38,57.5,405,Yak-42
AJ27,27.28,33.46,43.5,440,COMAC ARJ21
# ---- Business jets ----
GLF4,23.72,26.92,33.8,459,Gulfstream IV
GLF5,28.50,29.39,41.3,488,Gulfstream V
GLEX,28.65,30.30,43.1,488,Global Express
GL5T,28.65,29.50,41.7,488,Global 5000
GL7T,31.70,33.90,51.8,488,Global 7500
CL30,19.46,20.92,17.6,459,Challenger 300
CL35,19.46,20.92,18.4,459,Challenger 350
CL60,19.61,20.85,21.9,459,Challenger 600
FA7X,26.21,23.38,31.8,488,Falcon 7X
FA8X,26.29,24.46,33.1,488,Falcon 8X
FA50,18.86,18.50,18.5,459,Falcon 50
F900,19.33,20.21,21.9,459,Falcon 900
F2TH,19.33,20.23,19.4,470,Falcon 2000
FA20,16.30,17.15,13.0,420,Falcon 20
C25A,15.21,14.38,5.67,405,CJ2
C25B,16.26,15.60,6.29,415,CJ3
C25C,15.48,16.26,7.76,451,CJ4
C500,14.35,13.26,5.38,350,Citation I
C510,13.16,12.37,3.92,340,Mustang
C525,14.26,12.98,4.72,380,CJ1
C560,16.31,14.91,7.63,430,Citation V
C56X,17.17,15.79,9.16,441,Citation Excel
C650,16.31,16.90,10.2,459,Citation III
C680,19.24,19.35,13.7,458,Sovereign
C68A,22.05,19.00,13.9,446,Latitude
C700,20.89,22.30,17.9,476,Longitude
C750,21.09,22.04,16.4,528,Citation X
H25A,14.33,15.46,11.6,440,HS 125-700
H25B,15.66,15.60,12.7,447,Hawker 800
PRM1,13.56,14.02,5.67,451,Premier I
LJ35,12.04,14.83,8.30,460,Learjet 35
LJ45,14.57,17.68,9.55,464,Learjet 45
LJ60,13.35,17.88,10.7,466,Learjet 60
LJ75,15.60,17.90,9.75,464,Learjet 75
BE40,13.26,14.75,7.30,450,Beechjet 400
EA50,11.43,10.21,2.72,370,Eclipse 500
PC24,17.00,16.85,8.30,440,
# ---- Turboprop singles and twins ----
PC12,16.28,14.40,4.74,280,
PC21,9.11,11.23,4.25,320,
TBM7,12.16,10.64,3.35,300,TBM 700
TBM8,12.68,10.74,3.35,320,TBM 850
TBM9,12.82,10.74,3.35,330,TBM 900/930/940
P180,14.03,14.41,5.49,400,Avanti
C441,15.04,11.89,4.47,290,Conquest II
C425,13.45,10.93,3.83,260,Conquest I
AC90,14.22,13.10,4.65,270,Turbo Commander
AC95,14.22,13.10,4.65,270,Turbo Commander
P46T,13.11,8.81,2.31,260,Meridian
# ---- Piston GA ----
C152,10.11,7.34,0.757,105,
C162,9.14,6.86,0.599,100,Skycatcher
C172,11.00,8.28,1.157,122,Skyhawk
C72R,10.92,8.23,1.202,140,Cutlass RG
C177,10.82,8.31,1.111,130,Cardinal
C182,10.97,8.84,1.406,145,Skylane
C206,10.97,8.61,1.632,145,Stationair
C210,11.20,8.59,1.723,170,Centurion
C310,11.25,9.74,2.494,190,
C337,11.63,9.07,2.100,170,Skymaster
C402,13.45,11.09,3.107,190,
C414,13.45,11.09,3.062,200,Chancellor
C421,12.53,11.09,3.379,210,Golden Eagle
PA18,10.73,6.88,0.794,90,Super Cub
PA22,8.94,6.20,0.907,105,Tri-Pacer
PA23,11.34,9.53,2.360,170,Aztec
PA24,10.97,7.62,1.406,160,Comanche
P28A,10.67,7.25,1.089,110,Cherokee/Warrior
P28B,9.14,7.32,1.157,125,Cherokee 235
P28R,10.67,7.42,1.202,140,Arrow
P28T,10.80,8.33,1.315,165,Turbo Arrow
PA30,10.97,7.67,1.690,165,Twin Comanche
PA31,12.40,9.94,2.948,200,Navajo
P32R,10.57,8.44,1.633,155,Saratoga SP
P32T,11.02,8.44,1.633,175,Turbo Saratoga
PA34,11.85,8.72,2.155,175,Seneca
PA44,11.76,8.41,1.723,160,Seminole
PA46,13.11,8.72,1.950,190,Malibu
M20P,11.00,7.52,1.243,160,Mooney M20J
M20T,11.00,8.15,1.528,205,Mooney Acclaim
BE33,10.21,7.85,1.542,165,Debonair
BE35,10.21,7.85,1.542,165,Bonanza V-tail
BE36,10.21,8.38,1.656,170,Bonanza A36
BE55,11.53,8.53,2.313,190,Baron 55
BE58,11.53,9.09,2.495,200,Baron 58
BE76,11.58,8.86,1.769,155,Duchess
BE95,11.53,7.82,1.814,170,Travel Air
B36T,11.53,8.38,1.723,170,Bonanza B36TC
DA20,10.87,7.16,0.800,125,Katana,DIAMOND,DA20 Katana
DA40,11.94,8.06,1.200,150,Diamond Star
DA42,13.42,8.56,1.900,170,Twin Star
DA62,14.55,9.19,2.300,190,
SR20,11.68,7.92,1.406,155,
SR22,11.68,7.92,1.633,180,
DR40,8.72,6.96,1.000,130,Robin DR400
AA5,9.60,6.71,1.089,140,Grumman Tiger
RV6,7.01,6.10,0.726,165,
RV7,7.62,6.22,0.816,175,
RV8,7.32,6.30,0.816,180,
RV9,8.53,6.20,0.771,155,
RV10,9.65,7.32,1.202,175,
RV14,8.23,6.55,0.953,175,
BL8,10.36,6.93,0.953,105,Bellanca Scout
CT4,7.92,7.06,1.202,145,Airtrainer
SONX,6.71,5.51,0.522,130,Sonex
P68,12.00,9.55,1.960,155,Partenavia
GA8,12.29,8.95,1.814,125,GA8 Airvan
AT25,15.85,10.06,3.629,130,Air Tractor AT-502,AIR TRACTOR,AT-502
ASK21,17.00,8.35,0.600,60,glider,SCHLEICHER,ASK 21
# ---- Helicopters (span_m = main rotor diameter) ----
A109,11.00,11.45,2.850,150,
A119,10.83,12.96,2.850,140,Koala
A139,13.80,13.77,6.800,165,AW139
A169,12.12,14.65,4.800,150,AW169
AS32,15.60,16.29,9.350,141,Super Puma
AS35,10.69,10.93,2.250,133,AS350 Ecureuil,AIRBUS HELICOPTERS,AS350 Ecureuil
AS50,10.69,10.93,2.250,133,AS350B
AS55,10.69,10.93,2.600,121,AS355
AS65,11.94,13.68,4.300,140,AS365 Dauphin
EC20,10.00,9.60,1.715,120,EC120
EC25,16.20,16.79,11.000,142,EC225
EC30,10.69,10.68,2.427,130,EC130
EC35,10.20,10.20,2.910,137,EC135
EC45,11.00,13.03,3.585,133,EC145
EC55,12.60,14.30,4.920,150,EC155
EC75,14.80,18.02,7.800,150,EC175
H500,8.05,7.28,1.361,130,Hughes 500
B06,10.16,11.82,1.451,115,JetRanger
B47G,11.32,9.63,1.338,73,
B212,14.63,17.46,5.080,100,
B214,15.24,18.95,7.257,140,
B412,14.02,17.10,5.398,122,
B429,11.00,12.70,3.175,150,
B430,12.80,15.30,4.082,140,
R22,7.67,8.76,0.622,96,
R44,10.06,11.76,1.134,109,
R66,10.06,11.66,1.225,110,
S76,13.41,16.00,5.307,155,
S92,17.17,20.88,12.020,151,
S61,18.90,22.20,9.298,120,
S64,21.95,26.97,21.000,100,Skycrane
UH60,16.36,19.76,9.980,150,Black Hawk,SIKORSKY,UH-60 Black Hawk
MI8,21.29,25.24,12.000,122,
MI17,21.29,25.35,13.000,130,,MIL,Mi-17
KA32,15.90,11.30,11.000,115,coaxial,KAMOV,Ka-32
# ---- Military / special ----
F16,9.96,15.06,19.200,480,
F15,13.05,19.43,30.845,500,
F18,13.62,17.07,23.541,500,,BOEING,F/A-18 Hornet
F22,13.56,18.92,38.000,500,
F35,10.70,15.67,31.800,500,
HAWK,9.94,11.35,9.100,430,
PC9,10.12,10.18,3.200,300,
T38,7.70,14.14,5.485,480,Talon
C130,40.41,29.79,70.300,292,Hercules
C17,51.75,53.04,265.352,450,Globemaster III
C5M,67.89,75.31,381.000,450,Galaxy
E3TF,44.42,46.61,147.400,400,Sentry
K35R,39.88,41.53,146.284,460,KC-135R
P8,37.64,39.47,85.820,440,Poseidon
P3,30.37,35.61,64.410,328,Orion
KC30,60.30,58.80,233.000,470,A330 MRTT,AIRBUS,A330 MRTT
